Time,X,Y,InOpen,InClosed
6.36,-0.352536,-3.67488,0,0
6.4,-0.337482,-3.65899,0,0
6.44,-0.34221,-3.65836,0,0
6.48,-0.341143,-3.64923,0,0
6.52,-0.339659,-3.64536,0,0
6.56,-0.335761,-3.64931,0,0
6.6,-0.324406,-3.67569,0,0
6.64,-0.331487,-3.68157,0,0
6.68,-0.332847,-3.6695,0,0
6.72,-0.334335,-3.66725,0,0
6.76,-0.334863,-3.68683,0,0
6.8,-0.333417,-3.71139,0,0
6.84,-0.31681,-3.70449,0,0
6.88,-0.315554,-3.71832,0,0
6.92,-0.304284,-3.7144,0,0
6.96,-0.302678,-3.72227,0,0
7,-0.299308,-3.71808,0,0
7.04,-0.304503,-3.69599,0,0
7.08,-0.306536,-3.67861,0,0
7.12,-0.299042,-3.69662,0,0
7.16,-0.288899,-3.71053,0,0
7.2,-0.304369,-3.72493,0,0
7.24,-0.311543,-3.75627,0,0
7.28,-0.306339,-3.78526,0,0
7.32,-0.311397,-3.81939,0,0
7.36,-0.318369,-3.84779,0,0
7.4,-0.337266,-3.88833,0,0
7.44,-0.351322,-3.91823,0,0
7.48,-0.358421,-3.93783,0,0
7.52,-0.393615,-3.97563,0,0
7.56,-0.410094,-3.98956,0,0
7.6,-0.423476,-4.00879,0,0
7.64,-0.423311,-4.00827,0,0
7.68,-0.44304,-3.99178,0,0
7.72,-0.44082,-4.0148,0,0
7.76,-0.448269,-4.00172,0,0
7.8,-0.461858,-3.99142,0,0
7.84,-0.441115,-3.99131,0,0
7.88,-0.689334,-3.51435,0,0
7.92,-0.779872,-3.34049,0,0
7.96,-0.598621,-3.65408,0,0
8,-0.573253,-3.68102,0,0
8.04,-0.524737,-3.75844,0,0
8.08,-0.509838,-3.80912,0,0
8.12,-0.490422,-3.8522,0,0
8.16,-0.459293,-3.92441,0,0
8.2,-0.432814,-3.9601,0,0
8.24,-0.421115,-3.9824,0,0
8.28,-0.409254,-4.00312,0,0
8.32,-0.415642,-4.01092,0,0
8.36,-0.418826,-3.99826,0,0
8.4,-0.416649,-3.9933,0,0
8.44,-0.411747,-3.9961,0,0
8.48,-0.407861,-3.98843,0,0
8.52,-0.409142,-3.98542,0,0
8.56,-0.422807,-3.97836,0,0
8.6,-0.422968,-3.97939,0,0
8.64,-0.420149,-3.95559,0,0
8.68,-0.415654,-3.95218,0,0
8.72,-0.416349,-3.94082,0,0
8.76,-0.422244,-3.94609,0,0
8.8,-0.432652,-3.93932,0,0
